"LE_orig"	"LE_f"	"LE_fqc"	"LE_fall"	"LE_fall_qc"	"LE_fnum"	"LE_fsd"	"LE_fmeth"	"LE_fwin"
11.44	11.44	0	11.44	NA	NA	NA	NA	NA
8.02	8.02	0	8.02	NA	NA	NA	NA	NA
12.87	12.87	0	12.87	NA	NA	NA	NA	NA
5.31	5.31	0	5.31	NA	NA	NA	NA	NA
1.97	1.97	0	1.97	NA	NA	NA	NA	NA
1.75	1.75	0	1.75	NA	NA	NA	NA	NA
2.69	2.69	0	2.69	NA	NA	NA	NA	NA
NA	7.222	1	7.222	1	135	10.0808531977224	1	14
NA	6.8255303030303	1	6.8255303030303	1	132	10.3120728411662	1	14
-0.29	-0.29	0	-0.29	NA	NA	NA	NA	NA
NA	6.20606299212598	1	6.20606299212598	1	127	10.2241773959851	1	14
1.35	1.35	0	1.35	NA	NA	NA	NA	NA
0.46	0.46	0	0.46	NA	NA	NA	NA	NA
-1.89	-1.89	0	-1.89	NA	NA	NA	NA	NA
-1.24	-1.24	0	-1.24	NA	NA	NA	NA	NA
NA	5.92242105263158	1	5.92242105263158	1	95	10.5368128448413	1	14
-4.72	-4.72	0	-4.72	NA	NA	NA	NA	NA
-3.01	-3.01	0	-3.01	NA	NA	NA	NA	NA
4.22	4.22	0	4.22	NA	NA	NA	NA	NA
NA	6.62925925925926	1	6.62925925925926	1	81	10.7938718467677	1	14
64.4	64.4	0	64.4	NA	NA	NA	NA	NA
133.26	133.26	0	133.26	NA	NA	NA	NA	NA
139.98	139.98	0	139.98	NA	NA	NA	NA	NA
183.17	183.17	0	183.17	NA	NA	NA	NA	NA
204.54	204.54	0	204.54	NA	NA	NA	NA	NA
354.64	354.64	0	354.64	NA	NA	NA	NA	NA
245.53	245.53	0	245.53	NA	NA	NA	NA	NA
402.87	402.87	0	402.87	NA	NA	NA	NA	NA
510.77	510.77	0	510.77	NA	NA	NA	NA	NA
516.84	516.84	0	516.84	NA	NA	NA	NA	NA
509.38	509.38	0	509.38	NA	NA	NA	NA	NA
553.08	553.08	0	553.08	NA	NA	NA	NA	NA
486.08	486.08	0	486.08	NA	NA	NA	NA	NA
497.76	497.76	0	497.76	NA	NA	NA	NA	NA
388.98	388.98	0	388.98	NA	NA	NA	NA	NA
478.98	478.98	0	478.98	NA	NA	NA	NA	NA
357.06	357.06	0	357.06	NA	NA	NA	NA	NA
494.53	494.53	0	494.53	NA	NA	NA	NA	NA
385.06	385.06	0	385.06	NA	NA	NA	NA	NA
407.95	407.95	0	407.95	NA	NA	NA	NA	NA
392.73	392.73	0	392.73	NA	NA	NA	NA	NA
257.91	257.91	0	257.91	NA	NA	NA	NA	NA
194.32	194.32	0	194.32	NA	NA	NA	NA	NA
142.71	142.71	0	142.71	NA	NA	NA	NA	NA
77.94	77.94	0	77.94	NA	NA	NA	NA	NA
55.86	55.86	0	55.86	NA	NA	NA	NA	NA
22.37	22.37	0	22.37	NA	NA	NA	NA	NA
NA	33.251	1	33.251	1	10	12.4015253990073	1	14
NA	9.52166666666667	1	9.52166666666667	1	12	10.725504720765	1	14
-4.33	-4.33	0	-4.33	NA	NA	NA	NA	NA
NA	9.76840579710145	1	9.76840579710145	1	69	9.43394942921081	1	14
8.71	8.71	0	8.71	NA	NA	NA	NA	NA
NA	9.0609900990099	1	9.0609900990099	1	101	8.96208809429482	1	14
NA	8.94663265306122	1	8.94663265306122	1	98	8.23695431449811	1	14
NA	8.19521008403361	1	8.19521008403361	1	119	8.70122501104177	1	14
NA	7.55464285714286	1	7.55464285714286	1	112	7.82558485032769	1	14
4.83	4.83	0	4.83	NA	NA	NA	NA	NA
11.15	11.15	0	11.15	NA	NA	NA	NA	NA
-4.88	-4.88	0	-4.88	NA	NA	NA	NA	NA
NA	7.22115384615385	1	7.22115384615385	1	130	9.95661119107583	1	14
10.49	10.49	0	10.49	NA	NA	NA	NA	NA
NA	6.86296296296296	1	6.86296296296296	1	135	10.4123179831486	1	14
3.98	3.98	0	3.98	NA	NA	NA	NA	NA
NA	6.25864406779661	1	6.25864406779661	1	118	10.5739660879679	1	14
3.19	3.19	0	3.19	NA	NA	NA	NA	NA
-0.65	-0.65	0	-0.65	NA	NA	NA	NA	NA
15.47	15.47	0	15.47	NA	NA	NA	NA	NA
40.81	40.81	0	40.81	NA	NA	NA	NA	NA
62.84	62.84	0	62.84	NA	NA	NA	NA	NA
123.38	123.38	0	123.38	NA	NA	NA	NA	NA
181.7	181.7	0	181.7	NA	NA	NA	NA	NA
271.68	271.68	0	271.68	NA	NA	NA	NA	NA
381.16	381.16	0	381.16	NA	NA	NA	NA	NA
408.28	408.28	0	408.28	NA	NA	NA	NA	NA
410.78	410.78	0	410.78	NA	NA	NA	NA	NA
585.07	585.07	0	585.07	NA	NA	NA	NA	NA
583.5	583.5	0	583.5	NA	NA	NA	NA	NA
660.37	660.37	0	660.37	NA	NA	NA	NA	NA
694.61	694.61	0	694.61	NA	NA	NA	NA	NA
486.41	486.41	0	486.41	NA	NA	NA	NA	NA
396.67	396.67	0	396.67	NA	NA	NA	NA	NA
561.17	561.17	0	561.17	NA	NA	NA	NA	NA
408.63	408.63	0	408.63	NA	NA	NA	NA	NA
483.19	483.19	0	483.19	NA	NA	NA	NA	NA
511.4	511.4	0	511.4	NA	NA	NA	NA	NA
518.53	518.53	0	518.53	NA	NA	NA	NA	NA
405.77	405.77	0	405.77	NA	NA	NA	NA	NA
416.8	416.8	0	416.8	NA	NA	NA	NA	NA
321.84	321.84	0	321.84	NA	NA	NA	NA	NA
232.21	232.21	0	232.21	NA	NA	NA	NA	NA
163.79	163.79	0	163.79	NA	NA	NA	NA	NA
121.48	121.48	0	121.48	NA	NA	NA	NA	NA
87.76	87.76	0	87.76	NA	NA	NA	NA	NA
43.46	43.46	0	43.46	NA	NA	NA	NA	NA
9.78	9.78	0	9.78	NA	NA	NA	NA	NA
12.82	12.82	0	12.82	NA	NA	NA	NA	NA
13.76	13.76	0	13.76	NA	NA	NA	NA	NA
4.95	4.95	0	4.95	NA	NA	NA	NA	NA
13.32	13.32	0	13.32	NA	NA	NA	NA	NA
5.9	5.9	0	5.9	NA	NA	NA	NA	NA
2.76	2.76	0	2.76	NA	NA	NA	NA	NA
0.65	0.65	0	0.65	NA	NA	NA	NA	NA
NA	6.8621052631579	1	6.8621052631579	1	133	10.0326216438896	1	14
2.4	2.4	0	2.4	NA	NA	NA	NA	NA
NA	6.30201680672269	1	6.30201680672269	1	119	10.6428963800108	1	14
-0.31	-0.31	0	-0.31	NA	NA	NA	NA	NA
3.13	3.13	0	3.13	NA	NA	NA	NA	NA
NA	5.74234234234234	1	5.74234234234234	1	111	10.0770297711681	1	14
-1.67	-1.67	0	-1.67	NA	NA	NA	NA	NA
NA	5.61739130434783	1	5.61739130434783	1	92	10.7708193357738	1	14
6.27	6.27	0	6.27	NA	NA	NA	NA	NA
NA	5.42031914893617	1	5.42031914893617	1	94	10.7395836458541	1	14
NA	5.60459770114943	1	5.60459770114943	1	87	10.9481767415484	1	14
1.06	1.06	0	1.06	NA	NA	NA	NA	NA
NA	6.16342465753425	1	6.16342465753425	1	73	11.5397619630729	1	14
41.16	41.16	0	41.16	NA	NA	NA	NA	NA
76.75	76.75	0	76.75	NA	NA	NA	NA	NA
127.71	127.71	0	127.71	NA	NA	NA	NA	NA
145.17	145.17	0	145.17	NA	NA	NA	NA	NA
242.98	242.98	0	242.98	NA	NA	NA	NA	NA
250.13	250.13	0	250.13	NA	NA	NA	NA	NA
311.89	311.89	0	311.89	NA	NA	NA	NA	NA
383.04	383.04	0	383.04	NA	NA	NA	NA	NA
293.65	293.65	0	293.65	NA	NA	NA	NA	NA
359.36	359.36	0	359.36	NA	NA	NA	NA	NA
284.7	284.7	0	284.7	NA	NA	NA	NA	NA
294.52	294.52	0	294.52	NA	NA	NA	NA	NA
365.87	365.87	0	365.87	NA	NA	NA	NA	NA
570.88	570.88	0	570.88	NA	NA	NA	NA	NA
481.89	481.89	0	481.89	NA	NA	NA	NA	NA
595.64	595.64	0	595.64	NA	NA	NA	NA	NA
574.95	574.95	0	574.95	NA	NA	NA	NA	NA
389.57	389.57	0	389.57	NA	NA	NA	NA	NA
379.39	379.39	0	379.39	NA	NA	NA	NA	NA
387.23	387.23	0	387.23	NA	NA	NA	NA	NA
388.74	388.74	0	388.74	NA	NA	NA	NA	NA
369.04	369.04	0	369.04	NA	NA	NA	NA	NA
300.51	300.51	0	300.51	NA	NA	NA	NA	NA
220.1	220.1	0	220.1	NA	NA	NA	NA	NA
136.42	136.42	0	136.42	NA	NA	NA	NA	NA
83.15	83.15	0	83.15	NA	NA	NA	NA	NA
48.72	48.72	0	48.72	NA	NA	NA	NA	NA
27.32	27.32	0	27.32	NA	NA	NA	NA	NA
21.78	21.78	0	21.78	NA	NA	NA	NA	NA
3.71	3.71	0	3.71	NA	NA	NA	NA	NA
NA	9.11835616438356	1	9.11835616438356	1	73	8.45403503490405	1	14
NA	7.75216666666667	1	7.75216666666667	1	120	9.0640760289013	1	14
1.94	1.94	0	1.94	NA	NA	NA	NA	NA
-0.03	-0.03	0	-0.03	NA	NA	NA	NA	NA
-1.53	-1.53	0	-1.53	NA	NA	NA	NA	NA
NA	6.34617647058823	1	6.34617647058823	1	136	10.2816444180393	1	14
NA	6.32817518248175	1	6.32817518248175	1	137	10.2459411776637	1	14
4.27	4.27	0	4.27	NA	NA	NA	NA	NA
NA	6.50940740740741	1	6.50940740740741	1	135	10.1415204461484	1	14
-4.19	-4.19	0	-4.19	NA	NA	NA	NA	NA
NA	5.4117094017094	1	5.4117094017094	1	117	9.99376497782823	1	14
NA	5.68920454545455	1	5.68920454545455	1	88	11.0556746984587	1	14
NA	5.75425287356322	1	5.75425287356322	1	87	11.1028156529631	1	14
-1.56	-1.56	0	-1.56	NA	NA	NA	NA	NA
7.46	7.46	0	7.46	NA	NA	NA	NA	NA
3.2	3.2	0	3.2	NA	NA	NA	NA	NA
NA	6.02307692307692	1	6.02307692307692	1	78	11.4119470671808	1	14
7.05	7.05	0	7.05	NA	NA	NA	NA	NA
19	19	0	19	NA	NA	NA	NA	NA
87.37	87.37	0	87.37	NA	NA	NA	NA	NA
128.24	128.24	0	128.24	NA	NA	NA	NA	NA
160.82	160.82	0	160.82	NA	NA	NA	NA	NA
225.19	225.19	0	225.19	NA	NA	NA	NA	NA
NA	257.189090909091	1	257.189090909091	1	11	51.3646813393299	1	14
267.58	267.58	0	267.58	NA	NA	NA	NA	NA
390.11	390.11	0	390.11	NA	NA	NA	NA	NA
417.96	417.96	0	417.96	NA	NA	NA	NA	NA
379.07	379.07	0	379.07	NA	NA	NA	NA	NA
432.2	432.2	0	432.2	NA	NA	NA	NA	NA
471.41	471.41	0	471.41	NA	NA	NA	NA	NA
378.59	378.59	0	378.59	NA	NA	NA	NA	NA
609.15	609.15	0	609.15	NA	NA	NA	NA	NA
563.99	563.99	0	563.99	NA	NA	NA	NA	NA
570.07	570.07	0	570.07	NA	NA	NA	NA	NA
575.78	575.78	0	575.78	NA	NA	NA	NA	NA
595.38	595.38	0	595.38	NA	NA	NA	NA	NA
549.4	549.4	0	549.4	NA	NA	NA	NA	NA
498.26	498.26	0	498.26	NA	NA	NA	NA	NA
437.38	437.38	0	437.38	NA	NA	NA	NA	NA
310.46	310.46	0	310.46	NA	NA	NA	NA	NA
262.4	262.4	0	262.4	NA	NA	NA	NA	NA
162.56	162.56	0	162.56	NA	NA	NA	NA	NA
104.6	104.6	0	104.6	NA	NA	NA	NA	NA
55.7	55.7	0	55.7	NA	NA	NA	NA	NA
20.36	20.36	0	20.36	NA	NA	NA	NA	NA
11.76	11.76	0	11.76	NA	NA	NA	NA	NA
5.59	5.59	0	5.59	NA	NA	NA	NA	NA
12.19	12.19	0	12.19	NA	NA	NA	NA	NA
2.79	2.79	0	2.79	NA	NA	NA	NA	NA
4.6	4.6	0	4.6	NA	NA	NA	NA	NA
NA	8.11241379310345	1	8.11241379310345	1	116	8.9332136114215	1	14
3.33	3.33	0	3.33	NA	NA	NA	NA	NA
0.79	0.79	0	0.79	NA	NA	NA	NA	NA
13.7	13.7	0	13.7	NA	NA	NA	NA	NA
3.4	3.4	0	3.4	NA	NA	NA	NA	NA
-8.49	-8.49	0	-8.49	NA	NA	NA	NA	NA
-0.26	-0.26	0	-0.26	NA	NA	NA	NA	NA
-1.5	-1.5	0	-1.5	NA	NA	NA	NA	NA
0.73	0.73	0	0.73	NA	NA	NA	NA	NA
1.15	1.15	0	1.15	NA	NA	NA	NA	NA
2.02	2.02	0	2.02	NA	NA	NA	NA	NA
NA	5.31080459770115	1	5.31080459770115	1	87	10.6062349169032	1	14
-1.24	-1.24	0	-1.24	NA	NA	NA	NA	NA
0.22	0.22	0	0.22	NA	NA	NA	NA	NA
8.3	8.3	0	8.3	NA	NA	NA	NA	NA
NA	5.84970149253731	1	5.84970149253731	1	67	11.1555083513128	1	14
15.72	15.72	0	15.72	NA	NA	NA	NA	NA
43.13	43.13	0	43.13	NA	NA	NA	NA	NA
122.5	122.5	0	122.5	NA	NA	NA	NA	NA
190.62	190.62	0	190.62	NA	NA	NA	NA	NA
181.3	181.3	0	181.3	NA	NA	NA	NA	NA
307.88	307.88	0	307.88	NA	NA	NA	NA	NA
289.02	289.02	0	289.02	NA	NA	NA	NA	NA
356.12	356.12	0	356.12	NA	NA	NA	NA	NA
371.36	371.36	0	371.36	NA	NA	NA	NA	NA
388.18	388.18	0	388.18	NA	NA	NA	NA	NA
389.6	389.6	0	389.6	NA	NA	NA	NA	NA
445.41	445.41	0	445.41	NA	NA	NA	NA	NA
445.17	445.17	0	445.17	NA	NA	NA	NA	NA
509.11	509.11	0	509.11	NA	NA	NA	NA	NA
495.95	495.95	0	495.95	NA	NA	NA	NA	NA
642.24	642.24	0	642.24	NA	NA	NA	NA	NA
648.54	648.54	0	648.54	NA	NA	NA	NA	NA
612.04	612.04	0	612.04	NA	NA	NA	NA	NA
569.5	569.5	0	569.5	NA	NA	NA	NA	NA
473.08	473.08	0	473.08	NA	NA	NA	NA	NA
394.35	394.35	0	394.35	NA	NA	NA	NA	NA
334.64	334.64	0	334.64	NA	NA	NA	NA	NA
306.32	306.32	0	306.32	NA	NA	NA	NA	NA
185.36	185.36	0	185.36	NA	NA	NA	NA	NA
135.1	135.1	0	135.1	NA	NA	NA	NA	NA
65.6	65.6	0	65.6	NA	NA	NA	NA	NA
57.05	57.05	0	57.05	NA	NA	NA	NA	NA
38.42	38.42	0	38.42	NA	NA	NA	NA	NA
9.56	9.56	0	9.56	NA	NA	NA	NA	NA
-0.39	-0.39	0	-0.39	NA	NA	NA	NA	NA
1.8	1.8	0	1.8	NA	NA	NA	NA	NA
5.14	5.14	0	5.14	NA	NA	NA	NA	NA
8.62	8.62	0	8.62	NA	NA	NA	NA	NA
11.53	11.53	0	11.53	NA	NA	NA	NA	NA
11.59	11.59	0	11.59	NA	NA	NA	NA	NA
17.63	17.63	0	17.63	NA	NA	NA	NA	NA
NA	6.6904958677686	1	6.6904958677686	1	121	8.75221979949846	1	14
7.97	7.97	0	7.97	NA	NA	NA	NA	NA
2.22	2.22	0	2.22	NA	NA	NA	NA	NA
2	2	0	2	NA	NA	NA	NA	NA
NA	4.49895348837209	1	4.49895348837209	1	86	9.58930029086583	1	14
-3.02	-3.02	0	-3.02	NA	NA	NA	NA	NA
-0.04	-0.04	0	-0.04	NA	NA	NA	NA	NA
-1.24	-1.24	0	-1.24	NA	NA	NA	NA	NA
-1.1	-1.1	0	-1.1	NA	NA	NA	NA	NA
NA	5.67	1	5.67	1	52	10.553461470987	1	14
0.43	0.43	0	0.43	NA	NA	NA	NA	NA
NA	6.38076923076923	1	6.38076923076923	1	39	11.5603089980136	1	14
19.26	19.26	0	19.26	NA	NA	NA	NA	NA
60.2	60.2	0	60.2	NA	NA	NA	NA	NA
116.24	116.24	0	116.24	NA	NA	NA	NA	NA
144.93	144.93	0	144.93	NA	NA	NA	NA	NA
171.43	171.43	0	171.43	NA	NA	NA	NA	NA
255.68	255.68	0	255.68	NA	NA	NA	NA	NA
270.84	270.84	0	270.84	NA	NA	NA	NA	NA
346.32	346.32	0	346.32	NA	NA	NA	NA	NA
397.23	397.23	0	397.23	NA	NA	NA	NA	NA
458.4	458.4	0	458.4	NA	NA	NA	NA	NA
494.39	494.39	0	494.39	NA	NA	NA	NA	NA
429.2	429.2	0	429.2	NA	NA	NA	NA	NA
492.02	492.02	0	492.02	NA	NA	NA	NA	NA
482.46	482.46	0	482.46	NA	NA	NA	NA	NA
473.9	473.9	0	473.9	NA	NA	NA	NA	NA
552.77	552.77	0	552.77	NA	NA	NA	NA	NA
452.57	452.57	0	452.57	NA	NA	NA	NA	NA
487.4	487.4	0	487.4	NA	NA	NA	NA	NA
387.97	387.97	0	387.97	NA	NA	NA	NA	NA
358.77	358.77	0	358.77	NA	NA	NA	NA	NA
340.29	340.29	0	340.29	NA	NA	NA	NA	NA
252.59	252.59	0	252.59	NA	NA	NA	NA	NA
217.5	217.5	0	217.5	NA	NA	NA	NA	NA
